 Pattern#  1 Phase No.:  1 anhydrite           78 reflections, N&T:        0    0.00    (The # of eff. reflections may be lower)
!  SPGR: A m m a;  CELL:      6.98416     6.98111     6.22916    90.00000    90.00000    90.00000
   h   k   l    Mult    Freal       Fimag        2T            Intensity  Code
   1   1   1       8    -18.5382      0.5642      9.1893         26.0703    0
   2   0   0       2   -141.7822     -1.7433     10.1847        315.6339    0
   0   2   0       2    140.8700      1.7425     10.1891        311.3675    0
   0   0   2       2    -32.0559     -0.5922     11.4230         13.1456    0
   1   0   2       4    -97.6046     -1.6082     12.5115        208.0285    0
   2   1   1       8    -21.8948      0.3976     12.7484         20.2752    0
   2   2   0       4    -55.6258     -1.6698     14.4255         53.2875    0
   2   0   2       4    -25.1270      0.5320     15.3266          9.8642    0
   0   2   2       4    -93.3281     -0.6642     15.3296        135.9880    0
   1   2   2       8    -75.1004     -1.5934     16.1613        162.3107    0
   0   3   1       4    -61.0995     -0.4897     16.3492         52.7568    0
   3   1   1       8    -45.9509     -0.6327     17.1274         55.6789    0
   1   3   1       8     -4.8312      0.5714     17.1328          0.6236    0
   0   1   3       4     59.0420      0.7537     17.9196         43.0466    0
   2   2   2       8     35.8795      0.6040     18.4384         30.5445    0
   1   1   3       8     11.8468      0.2331     18.6392          3.2810    0
   3   0   2       4    111.3484      1.6483     19.1368        139.7983    0
   2   3   1       8     37.9876      0.4684     19.2990         32.1741    0
   4   0   0       2    104.5424      1.7454     20.4509         56.5220    0
   0   4   0       2    105.7263      1.7471     20.4599         57.7807    0
   2   1   3       8    -12.5329     -0.6971     20.6532          3.2189    0
   3   2   2       8     92.8487      1.6336     21.7255        165.8088    0
   4   1   1       8     13.0486     -0.3982     21.8629          3.2531    0
   3   3   1       8    -41.2696     -0.6399     22.4654         31.5387    0
   4   2   0       4     50.3929      1.6719     22.8977         23.0513    0
   2   4   0       4    -51.9958     -1.6744     22.9037         24.5311    0
   0   0   4       2    -21.0653     -1.2390     22.9614          2.0128    0
   0   3   3       4      4.0176      0.6858     23.0816          0.1493    0
   4   0   2       4     12.6462     -0.5337     23.4851          1.4148    0
   0   4   2       4    -65.9337     -0.6597     23.4930         38.3799    0
   1   0   4       4     27.5443      1.0823     23.5333          6.6961    0
   3   1   3       8     18.1064     -0.1881     23.6467          5.7506    0
   1   3   3       8     22.8852      0.2543     23.6507          9.1852    0
   1   4   2       8    -63.1745     -1.5943     24.0529         68.8721    0
   2   0   4       4     37.2162      1.2660     25.1753         11.4622    0
   0   2   4       4    -60.7480     -1.3066     25.1771         30.5152    0
   2   3   3       8     29.2302     -0.6292     25.2855         14.0770    0
   4   2   2       8    -30.5302     -0.6057     25.6582         15.1659    0
   2   4   2       8     27.0039      0.5995     25.6636         11.8646    0
   1   2   4       8     43.5874      1.1112     25.7026         30.8757    0
   4   3   1       8    -28.2810     -0.4690     26.2936         12.7581    0
   0   5   1       4      1.8977     -0.4145     26.3007          0.0301    0
   5   1   1       8     -8.1351      0.5623     26.7951          1.0453    0
   1   5   1       8     -7.3189      0.5638     26.8056          0.8468    0
   2   2   4       8     72.3205      1.3336     27.2221         81.3242    0
   4   1   3       8      9.7801      0.6987     27.3195          1.4906    0
   3   0   4       4    -61.6560     -1.1488     27.7098         29.2040    0
   3   3   3       8      4.0933     -0.2093     27.8106          0.2574    0
   5   0   2       4    -64.9220     -1.6070     28.1506         32.0677    0
   3   4   2       8     79.0207      1.6345     28.1573         94.9846    0
   2   5   1       8    -12.7618      0.3932     28.2702          2.4727    0
   4   4   0       4     49.1689      1.6765     29.0862         18.0687    0
   0   1   5       4    -10.6903     -0.0284     29.2780          0.8503    0
   3   2   4       8    -72.9494     -1.1777     29.5943         78.7976    0
   1   1   5       8    -13.9035     -0.7460     29.7363          2.8635    0
   5   2   2       8    -55.5816     -1.5923     30.0098         45.4868    0
   5   3   1       8     -4.0631      0.5694     30.5616          0.2459    0
   3   5   1       8    -25.3746     -0.6323     30.5678          9.4094    0
   6   0   0       2   -112.7500     -1.8159     30.8864         46.2581    0
   0   6   0       2    112.6054      1.8157     30.9002         46.1327    0
   4   0   4       4    -34.4603     -1.2652     30.9363          8.6469    0
   0   4   4       4    -51.6219     -1.3024     30.9424         19.3899    0
   4   3   3       8    -23.2641      0.6308     31.0275          7.8697    0
   0   5   3       4     35.3248      0.7579     31.0336          9.0688    0
   2   1   5       8    -23.4599     -0.0441     31.0742          7.9930    0
   4   4   2       8    -24.8555     -0.6012     31.3416          8.9443    0
   1   4   4       8     38.6518      1.1094     31.3786         21.6206    0
   5   1   3       8      7.8160      0.2343     31.4596          0.8828    0
   1   5   3       8      6.6334      0.2317     31.4687          0.6359    0
