 Pattern#  1 Phase No.:  2 cinnabar            63 reflections, N&T:        0    0.00    (The # of eff. reflections may be lower)
!  SPGR: P 32 2 1;  CELL:      4.14114     4.14114     9.47950    90.00000    90.00000   120.00000
   h   k   l    Mult    Freal       Fimag        2T            Intensity  Code
   1   0   0       6     30.6176      5.6204      9.9163          8.3324    0
   0   1   1       6     26.8816     56.5367     10.6041         29.3356    0
   1   0   1       6   -110.9190    139.2816     10.6041        237.3060    0
   0   0   3       2    168.0294     27.2970     11.2588         63.8475    0
   0   1   2       6   -131.3683    173.7699     12.4440        254.4449    0
   1   0   2       6      0.6799     10.1026     12.4440          0.5497    0
   0   1   3       6     50.7814      5.8671     15.0244          9.3921    0
   1   0   3       6     50.7810      5.8673     15.0244          9.3920    0
   1   1   0       6    -69.2130   -153.1155     17.2188         76.7404    0
   1   1   1      12    -70.9598     29.6190     17.6280         28.9177    0
   0   1   4       6      1.1131     10.8545     18.0387          0.2872    0
   1   0   4       6   -120.3310    154.6524     18.0387         92.6411    0
   1   1   2      12    -30.5388     30.7077     18.8038          9.1735    0
   2   0   0       6    -22.0438     -7.5409     19.9078          1.0503    0
   0   2   1       6    -55.4795   -143.5661     20.2646         44.0283    0
   2   0   1       6    -46.6068     57.0439     20.2646         10.0850    0
   1   1   3      12    -44.7427   -149.7935     20.6200         85.7951    0
   0   2   2       6    -48.3001     59.8527     21.3005          9.8100    0
   2   0   2       6    -52.0065   -137.4365     21.3005         35.8114    0
   0   1   5       6    -96.9559    115.0969     21.3140         37.5048    0
   1   0   5       6     20.0579     44.7164     21.3140          3.9775    0
   0   0   6       2    194.4441     28.0410     22.6282         18.5432    0
   0   2   3       6    -74.0786     -8.2805     22.9278          7.7651    0
   2   0   3       6    -74.0786     -8.2798     22.9278          7.7651    0
   1   1   4      12    -29.2169     28.0416     22.9320          5.1115    0
   0   1   6       6     25.0383      5.6199     24.7585          0.7668    0
   1   0   6       6     25.0376      5.6208     24.7585          0.7668    0
   0   2   4       6    -47.3692   -129.4041     25.0378         21.5229    0
   2   0   4       6    -45.8519     55.6114     25.0378          5.8882    0
   1   1   5      12    -61.5834     24.7791     25.6145          9.0681    0
   2   1   0      12    -24.9516    -83.7557     26.4372         15.5194    0
   1   2   1      12     13.7626    -74.6004     26.7111         10.8581    0
   2   1   1      12    126.3710     42.1139     26.7111         33.2245    0
   1   2   2      12    106.2992     10.7572     27.5175         21.5567    0
   2   1   2      12      0.4453    -48.6128     27.5175          4.5084    0
   0   2   5       6    -42.2508     49.4994     27.5281          3.8042    0
   2   0   5       6    -46.3105   -127.6850     27.5281         16.5703    0
   0   1   7       6     17.1322     39.6513     28.3234          1.5602    0
   1   0   7       6    -88.4573    100.3769     28.3234         14.9692    0
   1   1   6      12    -52.3263   -127.5627     28.5738         31.6940    0
   1   2   3      12     -7.8094    -75.9539     28.8153          9.0612    0
   2   1   3      12     -7.8090    -75.9535     28.8153          9.0611    0
   3   0   0       6     94.6195     19.0469     30.0552          6.6942    0
   0   3   1       6    -22.7941    -74.3152     30.2989          4.2520    0
   3   0   1       6     38.8433    -48.4699     30.2989          2.7150    0
   0   2   6       6    -18.7906     -7.5416     30.3151          0.2881    0
   2   0   6       6    -18.7906     -7.5404     30.3151          0.2881    0
   1   2   4      12      0.9392    -46.1561     30.5473          3.1209    0
   2   1   4      12    100.8683     11.2099     30.5473         14.9227    0
   0   3   2       6     25.6926    -26.4943     31.0197          0.8952    0
   3   0   2       6    -39.7965   -104.9242     31.0197          8.2767    0
   1   1   7      12    -56.0947     21.6041     31.7444          3.7694    0
