 Pattern#  1 Phase No.:  3 romarchite          27 reflections, N&T:        0    0.00    (The # of eff. reflections may be lower)
!  SPGR: P 4/n m m;  CELL:      3.79420     3.79420     4.83631    90.00000    90.00000    90.00000
   h   k   l    Mult    Freal       Fimag        2T            Intensity  Code
   1   0   1       8    -82.5088     -2.8403     11.9199        105.0189    0
   1   1   0       4    -68.7465     -2.8360     13.2686         30.9867    0
   0   0   2       2    -66.2024     -2.8053     14.7289         12.4004    0
   1   1   1       8      5.1395     -0.1972     15.1840          0.2870    0
   1   0   2       8    -10.7989     -0.4172     17.4857          1.0690    0
   2   0   0       4    -80.9160     -2.8600     18.8070         27.8496    0
   1   1   2       8     78.1360      2.8293     19.8737         49.4521    0
   2   0   1       8    -13.7664     -0.2212     20.2163          1.5123    0
   0   0   3       2     -6.6794     -0.6110     22.1706          0.0843    0
   2   1   1      16     66.3943      2.8403     22.3245         65.9568    0
   2   0   2       8     56.2854      2.8053     23.9712         23.0057    0
   1   0   3       8     62.5602      2.7790     24.1165         28.3542    0
   2   1   2      16      9.0697      0.4172     25.7891          1.1777    0
   1   1   3       8     20.2503      0.6350     25.9247          2.9313    0
   2   2   0       4     67.2533      2.8600     26.7193         16.1875    0
   2   2   1       8     10.6283      0.2212     27.7479          0.8122    0
   2   0   3       8      6.7066      0.6110     29.2291          0.3319    0
   3   0   1       8     57.3824      2.8403     29.3482         24.2011    0
   0   0   4       2     60.4724      2.7378     29.7085          6.7593    0
   3   1   0       8     51.0961      2.8360     29.9427         19.4083    0
   2   2   2       8    -49.8433     -2.8053     30.6431         18.7206    0
   2   1   3      16    -54.5714     -2.7790     30.7590         44.9418    0
   3   1   1      16     -1.4630      0.1972     30.8727          0.0329    0
   1   0   4       8     16.0619      0.8254     31.2170          1.9573    0
